stopword removal,Score,Sentiment
orang koruptor nkri biarkan melenggang negara malaysia diportasi loh,0,Netral
orang tsmgkap uang disita harta sita uang bawa kabur negeri,-1,Negatif
halo halo jaksa riza callid malaysia riza orang malaysia diportasi malaysia hubungi imigrasi malaysia paham boronan indonesia korupsi lindungi rakyat indonesia miskin perhatikan koruptor nkri lindungi,0,Netral
hukum mati miskinkan kelurganya,0,Netral
riza cholid wajib ditangkap kejar dimana interpol hayo tangkap riza ckolid hukum mati,-2,Negatif
mengomong trussssss yuk yuk presiden prabowo gibran cepat cepat syah uuperampasan and pelakunya dorrrrr dorrrrr tamat mati,3,Positif
triliun yeah kerigian negara wow wow wow dorrrr pelakunya coba china koruptor langsung dorrrr mati saksikan keluarganya coba indonesia hukuman dorrrr dorrrr dorrrr dorrrr dorrrr dorrrr syah koruptor koruptor nkri,1,Positif
halo halo presiden prabowo gibran terhormat koruptor koruptor nkri babat bersih koruptor nkri bebas kemiskinan pelakunya hukum dorrrrr dorrrrr dorrrrr tamat mati negeri pejabat berani korupsi berani mati dorrrr saksikan keluarga ok sok i will indonesia,1,Positif
tangkap rizakhalid adili,-1,Negatif
tembak mati ajatas tuduhan melarikan ketidakpatuhannya penegak hukum gara korupnya masyarakat menderita makankan penderitaan,-3,Negatif
apakabar ruu perampasan aset,0,Netral
uu perampasan aset tolong sahkan hukum mati koruptor,0,Netral
negara kuat rakyat memdukung presiden,1,Positif
kadang percaya polisi menangkapnya tf mafia bisnis kepolisian hukuman ringan deperti tambang timah bangka triliunan hukuman h,2,Positif
limimitit dpo buronan indonesia rakyat indonesia bersatu nungu ridal kalip melenyapkan muka bumi gegares dolang rakyat indonesi,-2,Negatif
riza halid lari uanguangnya bank,-1,Negatif
orang bikin juta rakyat menderita coba serahin massa rakyat masyarakat indonesia,0,Netral
selamat sukses prabowo memproses selslu mengobok migas negara semoga prabowo senantiasa icene kerahayuan sakeng ide sangiyang widiwasa astung kare,2,Positif
malu namamu bawa nama muhammad kelakuanmu bejat mending ganti nama firoun,-1,Negatif
riza chalid prabowo diadili bersekutu jokowi jokowi korupsi tumbuh subur jokowi raja koruptor no lndonesia no dunia versi occrp diadili dilindungi polisi kpk jaksa prabowo tunggu azab kubur lembaga hukum prabowo takut jokowi takut allah,-2,Negatif
risal kalit ditangkap ditembak mati langsung dimana diya memburu penembak jitu ditangkap lolos diya dikasih sayembara berhasil menembak risal kalit mati hidup dikasih hadiah uang wantasi cepat ditangkap,3,Positif
hukuman mati maju selangkah penegahkan hukum,0,Netral
hukumannya kurungan,-1,Negatif
tolong cari ketemu penghianat bangsa penyengsara rakyat indonesia masuk daftar dpo,-1,Negatif
ketangkap cuman diungkap,0,Netral
luhut bahlil megawati puan tuh diberesin najis gua lihat muka,-1,Negatif
riza khalid terpantau penegak hukum sekian intelijen kup gruop mafia,-1,Negatif
hukum mati sita harta kekayaannya koruptor ham ham lagijustru ham melindungi koruptor,0,Netral
anaknya suruh makan nasi bungkus sayaur kangkungsama ikan teri,0,Netral
pilih presiden kelak pilih berani menegakkan keadilan brantas korupsi,-2,Negatif
mati allah,1,Positif
disalahin sistimmau sistim uu korupsi lemah coba koruptor hukum mati orang korupsi berpikir kali,-3,Negatif
e anaknya hukum mati,0,Netral
hukum mati,0,Netral
negara konoha hukuman mati koruptor,0,Netral
mimpi tangkap rc nangkep sivelster,0,Netral
bosnya anis,0,Netral
tahi jokowi,-1,Negatif
kejar tuntas,0,Netral
hukum matipara koruptor maling uang negara rakyat,0,Netral
kasihan ditangkap korban diqurbankan menenangkan bangsa bodoh,-1,Negatif
pemilu risa sumbang timses prabowo,-2,Negatif
prabowo awali jnjg militer takut menangkap ridza tolong buktikan rakyat smkn percaya mampunyai pemimpin mumpuni,1,Positif
anis ditangkap,0,Netral
sorotan matanya tajam bengis menakutkan,-3,Negatif
kejaksaan agung rakyat dukungvkarena berani tetapkan rc tersangka dukung kpk kerjanya keket enga berani alasan menunggu pelapor walou porupsi mata kpk lebay,-2,Negatif
pakai masker,0,Netral
kesel gue media pakai foto susah orang dimana foto ngeri banget dimana hekel sanggup,1,Positif
buruuuuuuuuuu bajingan hidup matiiii anaknya sereeeet bajingan buru sereeeet,0,Netral
leluasaan koroptor anak cucu cholid wajib deportasi indonesia imigrasi wajib kasih wajib tinggal indonesia sahroni pecatsudah merugikan negara,-4,Negatif
percepat penangkapan riza chalid cuman nangkap maling ayam cepat,0,Netral
negara mju mka hkum berantaslah koruptortpi negara tertinggal mka kembangbiakkan tikus,-1,Negatif
wajahnya orang prindavan,0,Netral
hukum mati koruptor keluarganya mengambil kesejahteraan kemakmuran rakyat indonesia,-1,Negatif
tangkap cari riza chalid,-2,Negatif
klamaan cepat sidang tlah hukum mati,0,Netral
kategori cartel mafia bercokol anggarannya riza chalid harmonis sang presiden menabuh genderang perang,-1,Negatif
ayo sahkan ruu perampasan aset koruptor,1,Positif
mantap majutrus tuntas korupsi perminyakan,1,Positif
gila,0,Netral
hukuman mati harusmiskinkanntar vonisnya cuman aduh,0,Netral
indonesia gagal kilang minya kontraktor pegawai sogok riza pembuatan kilang gagal,-4,Negatif
tangkap rizal holik negara kalah beliau,-2,Negatif
kekayaam alam kuasai negara kesejahteraan rakkyat adil beradab nkri,0,Netral
tahap sekuat apapun korupsi tangkap butuh,-3,Negatif
tangkap,-1,Negatif
semangat memberantas korupsi,-2,Negatif
aceh merdeka orang korupsi aceh auto bangkrut,-2,Negatif
iblis bermuka manusia cocok manusia serakah,1,Positif
dosa kau terbuka lebar pintu neraka,-2,Negatif
huhuiii korupsi triliunan gila nih,-1,Negatif
great president,1,Positif
hukuman mati sjpada koruptorklu hukuman mati kapok kapok,-2,Negatif
era jokowi kenyang upeti,1,Positif
gampang cari hack keluarga nya komunikasi ketawan posisi dimn,-2,Negatif
riza chalid nangkap silvester kayak wkwk,-1,Negatif
masuk bui sel serasa kamar hotel,0,Netral
gila makan habistapi suka mengumpulkan harta haram,1,Positif
tersentuh kebagian,-1,Negatif
ketemu tolong hukum mati,1,Positif
jkl kompak pastti segiapapun yakyat menunggu bumn bersihkan orang ber hati tikus oke,0,Netral
sory pujapuji kejagung riza halid jaksa berani diplester fufufafajet pribadiblok medan aguan kejaksaan takutwaoada ayolah mikir,0,Netral
gara manusia juta manusia menderitaironisss,2,Positif
melawan abu jahal,0,Netral
uu perampasan harta selesai,0,Netral
anak penjettt kaki pulang indonesia,-1,Negatif
andai prabowo dikalahkan kruew mafia digantikannya rakyat me nepalkan,0,Netral
inteljen penegak hukum kerjanya tangkap rizal calid dpo tangkap mampunya penegak hukum nkri amit amit,-4,Negatif
terlibatnih,0,Netral
ayo prabowo cepat desak ketua dewan perwakilan rakyat cepat mengesahkan uu perampasan aset rakyat menikmati duit rakyat gondol maling kelas kakap kenal hukum,-2,Negatif
trimakasi jakowi telamendukung prabowo,0,Netral
dpo gayus tambunan columbia dideportasi,0,Netral
dunia membeli hukumtapi kelak akhirat uangnya menyogok malaikat beli kavling surga,-1,Negatif
berani tangkap rizal halid instruksi presiden albi menghindari penangkapan rh ketangkap ribuan orang kena joko widodo,-2,Negatif
ganti sistem pemain libas,-2,Negatif
donatur utama pencapresan anies baswedan riza chalid,1,Positif
gila negeri huni anjing busuk,-3,Negatif
ketemu langsung eksekusi apapun,2,Positif
mafia kelas kakap,-2,Negatif
chalid woi kholid,0,Netral
dimasa presiden surabaya diseret pengadilan dimasa presiden jokowi melenggang kangkong dimasa presiden prabowo subianto disikat sepandai pandai tupai melompat kali jatuh jugasikat rija khali kroninya nusa kambangan tempatnya,2,Positif
tangkap riza khalid tangkap disangka korupsi,-3,Negatif
aceh arab syari,0,Netral
