author,comment,likes,published_at
@JELLYSISCHA,"ORANG PALING KORUPTOR DI NKRI KOK DI BIARIN MALAH MELENGGANG KE NEGARA MALAYSIA DEKAT ITU, DIPORTASI LOH",1,2025-10-25T05:57:50Z
@SardiniDini-r1s,Klu orng nya belum. Di. Tsmgkap. Uang yg disita dan harta nya di sita masih banyak uang yg sudah di bawak. Kabur ke luar negeri,0,2025-10-25T05:57:08Z
@JELLYSISCHA,"HALLO HALLO JAKSA RIZA CALLID ADA DI MALAYSIA SEKARANG KOK RIZA BUKAN ORANG MALAYSIA DIPORTASI DONG DARI MALAYSIA, HUBUNGI PIHAK IMIGRASI DI MALAYSIA TAHU PAHAM KOK, KAN ITU SEORANG BORONAN DARI INDONESIA YG SUDAH LAMA MELAKUKAN KORUPSI, KOK DI LINDUNGI TRUSSSS, RAKYAT INDONESIA BANYAK YG MISKIN MALAH NGGAK DI PERHATIKAN, SEDANG KORUPTOR DI NKRI KOK MALAH DI LINDUNGI",1,2025-10-25T05:55:49Z
@abuabdullah403,Seharusnya di hukum mati dan di miskinkan kelurganya.,0,2025-10-25T05:55:19Z
@titotito403,"Riza Cholid wajib ditangkap kejar dimana dia berada, Interpol hayo Tangkap Riza Ckolid dan di Hukum Mati.",0,2025-10-25T05:50:54Z
@JELLYSISCHA,"CUMA NGOMONG TRUSSSSSS, YUK YUK PAK PRESIDEN PRABOWO GIBRAN CEPAT CEPAT DI SYAH UU.PERAMPASAN AND PELAKUNYA DORRRRR DORRRRR TAMAT MATI",1,2025-10-25T05:46:36Z
@JELLYSISCHA,"258 TRILIUN ITU SATU BULAN YEAH KERIGIAN NEGARA, WOW WOW WOW SUDAH LAMA SEKALI TRUSSSS KENAPA NGGAK DI DORRRR SAJA PELAKUNYA, COBA DI CHINA KORUPTOR LANGSUNG DI DORRRR MATI DAN DI SAKSIKAN KELUARGANYA SENDIRI, COBA DI INDONESIA HUKUMAN DORRRR DORRRR DORRRR DORRRR DORRRR DORRRR HARUS DI SYAH KAN TUK PARA KORUPTOR KORUPTOR DI NKRI",1,2025-10-25T05:45:32Z
@JELLYSISCHA,HALLO HALLO PAK PRESIDEN PRABOWO GIBRAN YG TERHORMAT PARA KORUPTOR KORUPTOR DI NKRI HARUS BABAT BERSIH KORUPTOR SUPAYA NKRI BEBAS DARI KEMISKINAN DAN PARA PELAKUNYA HARUS HUKUM DORRRRR DORRRRR DORRRRR TAMAT MATI SEPERTI DI LUAR NEGERI PEJABAT BERANI KORUPSI BERANI MATI DI DORRRR DI SAKSIKAN KELUARGA SENDIRI OK SO I WILL INDONESIA,1,2025-10-25T05:42:25Z
@Setiyono-uq7rw,Tangkap rizakhalid adili !!!,0,2025-10-25T05:04:52Z
@Gunawan-xm1xi,"Tembak mati aj,atas tuduhan melarikan diri dan ketidakpatuhannya terhadap penegak hukum dan gara2 korupnya masyarakat menderita spti tidak jdi makan,kan sudah penderitaan yg sangat",0,2025-10-25T04:53:10Z
