Kata,Frekuensi
rakyat,1020
ya,990
orang,924
negara,897
indonesia,819
jokowi,705
prabowo,688
mafia,656
presiden,628
koruptor,581
hukum,569
korupsi,522
riza,403
mati,371
negeri,291
mahfud,291
semoga,278
allah,268
chalid,267
sih,264
tangkap,255
pejabat,244
berani,223
pertamina,219
uang,217
sudirman,185
bangsa,184
minyak,179
said,174
pakai,171
tau,162
migas,161
takut,161
aset,157
kuat,155
kayak,153
bpk,152
bahlil,147
pemimpin,146
omon,146
partai,141
pemerintah,141
biar,138
dpr,136
jujur,135
masyarakat,132
sehat,125
maju,124
menteri,124
hidup,120
purbaya,120
hukuman,119
manusia,116
nkri,115
beliau,115
khalid,114
pemerintahan,113
bikin,112
salah,112
mentri,108
prof,108
md,105
hati,104
reza,102
amin,101
yaman,98
lihat,97
maling,97
kasih,97
korup,96
anak,95
perampasan,92
luhut,91
banget,90
masuk,89
politik,89
bersih,87
raja,87
miskin,86
rizal,86
kerja,84
duit,83
ganti,82
percaya,80
mendukung,80
uu,79
nih,79
kalah,76
ri,76
hasil,76
the,76
kilang,75
ayo,74
mantap,74
dunia,72
bbm,71
kpk,70
mantan,69
adili,68
cari,68
demo,68
swt,68
menangkap,67
dukung,67
cepat,66
tikus,66
p,66
melindungi,65
mulyono,65
berantas,64
tolong,62
nama,62
tuhan,62
pajak,62
diam,62
ditangkap,61
kali,60
memberantas,60
pintar,60
jaman,59
coba,58
langsung,58
ketua,58
tni,58
habis,58
jalan,58
halid,57
susah,57
podcast,57
harta,55
mu,55
aman,54
terang,54
undang,54
bilang,53
bahlul,53
polisi,52
makan,52
bumn,52
dimana,51
mengomong,51
apapun,51
penjara,51
rc,50
era,50
mudah,50
kekayaan,50
subianto,49
keturunan,49
merusak,49
bagus,49
bos,49
sita,48
bebas,48
buktikan,48
tangan,48
bongkar,48
mata,47
menjabat,47
kekuasaan,47
aparat,46
hebat,46
jenderal,46
jkw,46
tersangka,45
sulit,45
kepala,45
doang,45
jabatan,45
merugikan,44
bukti,44
kekuatan,44
n,44
tinggal,43
tersentuh,43
periode,43
makmur,43
rusak,43
sakit,43
harga,42
dihukum,42
bangun,42
kabur,41
wajib,41
gue,41
kelas,41
penjahat,41
kebenaran,41
penguasa,41
main,41
keluarga,40
kakap,40
kejahatan,40
sikat,40
ahok,40
hancur,40
rakus,40
impor,40
lindungi,39
bersatu,39
alam,39
beli,39
sistem,39
bayar,39
kabinet,39
gibran,38
penegak,38
keadilan,38
konoha,38
adil,38
butuh,38
semangat,38
suka,38
melawan,38
kena,38
namanya,38
oknum,38
parah,38
sejahtera,38
bawa,37
terima,37
miskinkan,36
lolos,36
anis,36
ekonomi,36
gas,36
dalang,36
biarkan,35
juta,35
terlibat,35
kemana,35
setuju,35
pecat,35
menkeu,35
diskusi,35
jaksa,34
proses,34
jahat,34
mobil,34
kejar,33
muka,33
kapolri,33
enak,33
terbukti,33
zaman,33
kemarin,33
asing,33
koropsi,33
novanto,33
mapia,33
petugas,33
of,33
bumi,32
kejaksaan,32
nangkap,32
gila,32
merdeka,32
geng,32
maaf,32
tata,32
koar,32
bicara,32
janji,32
cuman,31
pemain,31
tertangkap,31
elit,31
mahmud,31
saham,31
cerdas,31
nyata,31
berbuat,31
sahkan,30
tambang,30
menikmati,30
t,30
mencari,30
imigran,30
subsidi,30
keren,30
jawa,30
malaysia,29
and,29
ruu,29
